PSComputerName;RunspaceId;PSShowComputerName;Identity;TargetMailbox;Success;TargetFolder;ResultItemsCount;ResultItemsSize
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Gerencia Operaciones/dleonell;;True;;1;25.12 KB (25,725 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Tecnicas/GSIS/dlucas;;True;;1;25.16 KB (25,762 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/SANTA FE/dvicente;;True;;1;25.12 KB (25,723 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/BANCA MEGRA/fsaponar;;True;;1;25.07 KB (25,676 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/OPERACIONES BANCARIAS/gcostela;;True;;1;24.53 KB (25,121 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/DISTRIBUCION Y VENTAS/gdelgeni;;True;;1;24.41 KB (24,997 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/CONTROL DE GESTION/gscovott;;True;;1;25.07 KB (25,673 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/SANTA FE/hcabas;;True;;1;24.25 KB (24,837 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/DISTRIBUCION Y VENTAS/Handelsman, Jimena;;True;;1;24.48 KB (25,065 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/CORDOBA/lugonzal;;True;;1;27.68 KB (28,341 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/ADMINISTRACION/mcamacho;;True;;1;25.3 KB (25,909 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/BAJAS de USUARIOS/mosorio;;True;;1;25.73 KB (26,350 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Tecnicas/GTEC/mzabalet;;True;;1;25.28 KB (25,883 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/DISTRIBUCION Y VENTAS/palcanta;;True;;1;25.74 KB (26,353 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Buzones Recursos/Cumplimiento;;True;;1;25.34 KB (25,949 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/SANTA FE/scalvo;;True;;1;24.28 KB (24,860 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/OPERACIONES BANCARIAS/sriera;;True;;1;25.03 KB (25,630 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/ORGANIZACI?N Y PROCESOS/stelleri;;True;;1;25.16 KB (25,765 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/RECURSOS HUMANOS/Ugarte, Sofia;;True;;1;25.09 KB (25,688 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/AMBA/Cristovao, Yanina Noelia;;True;;1;24.33 KB (24,916 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Tecnicas/GTEC/andabrah;;True;;1;28.42 KB (29,097 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/BANCAS COMERCIALES/Seoane, Ana Mar?a;;True;;1;28.96 KB (29,651 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/AMBA/blucero;;True;;1;24.58 KB (25,169 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/Externos - MACRO SECURITIES/cmarchi;;True;;1;25.28 KB (25,891 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Buzones Recursos/Macro Comex;;True;;1;25.01 KB (25,606 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/SANTA FE/fabregu;;True;;1;24.83 KB (25,425 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/Externos - MACRO SECURITIES/felesgar;;True;;1;18.36 KB (18,796 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/OPERACIONES BANCARIAS/fhermosi;;True;;1;24.83 KB (25,423 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/BAJAS de USUARIOS/fwilliam;;True;;1;24.56 KB (25,147 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/BANCAS COMERCIALES/gfagalde;;True;;1;25.05 KB (25,651 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/RIESGO CREDITICIO/gseisded;;True;;1;25.15 KB (25,749 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/CORDOBA/Carceo, Leandro Sebastian;;True;;1;27.09 KB (27,740 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/OPERACIONES BANCARIAS/lguazzin;;True;;1;28.37 KB (29,050 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Tecnicas/GTEC/llacunza;;True;;1;28.58 KB (29,270 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Tecnicas/GSIS/mapucada;;True;;1;25.18 KB (25,788 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/ORGANIZACI?N Y PROCESOS/mdecarba;;True;;1;25.26 KB (25,867 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Tecnicas/GTEC/mmichelo;;True;;1;25.12 KB (25,723 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Tecnicas/GTEC/nhomziak;;True;;1;25.83 KB (26,452 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/BANCAS COMERCIALES/rmiranda;;True;;1;23.36 KB (23,919 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/AMBA/Conejero, Sergio;;True;;1;20.5 KB (20,995 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/SANTA FE/acarrace;;True;;1;23.95 KB (24,526 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/AMBA/drago;;True;;1;25.47 KB (26,081 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/ADMINISTRACION/fbrito;;True;;1;25.47 KB (26,080 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/PRODUCTOS EMPRESAS/fcaldeo;;True;;1;24.5 KB (25,087 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/DISTRIBUCION Y VENTAS/gcalape;;True;;1;24.96 KB (25,561 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/RIESGO CREDITICIO/Fernandez, Gabriel Pablo;;True;;1;23.8 KB (24,373 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/SALTA/hfernand;;True;;1;24.34 KB (24,923 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/SANTA FE/mbeccagl;;True;;1;25.62 KB (26,231 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/BANCAS COMERCIALES/mdebiasi;;True;;1;24.53 KB (25,123 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/SUDOESTE/pmartine;;True;;1;23.78 KB (24,347 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/BANCA GOBIERNO/scosta;;True;;1;25.71 KB (26,324 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/RIESGO CREDITICIO/siperez;;True;;1;25.04 KB (25,644 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/ADMINISTRACION/aabarca;;True;;1;25.1 KB (25,700 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/SANTA FE/Castro, Alicia Ang?lica;;True;;1;28.29 KB (28,973 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Buzones Recursos/Back Finanzas;;True;;1;24.63 KB (25,225 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/-VIPs/cbrito;;True;;1;25.7 KB (26,318 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/ADMINISTRACION/dmanzatt;;True;;1;23.25 KB (23,810 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/-VIPs/dpozzoli;;True;;1;25.75 KB (26,364 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/FINANZAS/fmignini;;True;;1;24.86 KB (25,454 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/DISTRIBUCION Y VENTAS/frfernan;;True;;1;25.54 KB (26,150 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/CORDOBA/gmauri;;True;;1;25.18 KB (25,781 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/OPERACIONES BANCARIAS/gpieroni;;True;;1;20.5 KB (20,989 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/RIESGO CREDITICIO/ldujovne;;True;;1;26.89 KB (27,540 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/CORDOBA/Cristofori, Marcos;;True;;1;24.94 KB (25,536 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/RECURSOS HUMANOS/mbastida;;True;;1;24.45 KB (25,037 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Tecnicas/GTEC/mcarro;;True;;1;25.14 KB (25,743 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/ORGANIZACI?N Y PROCESOS/patoledo;;True;;1;25.61 KB (26,224 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/SANTA FE/sperla;;True;;1;24.3 KB (24,882 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/N.E.A./tsanchez;;True;;1;24.73 KB (25,320 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Tecnicas/GSIS/acappell;;True;;1;24.97 KB (25,574 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Tecnicas/GTEC/alandres;;True;;1;27.75 KB (28,413 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/BANCAS COMERCIALES/aljuarez;;True;;1;25.06 KB (25,658 bytes)
